projectIndicator,projectNo,Score,program,Current Estimate ,r_curr_jan_2016,r_curr_feb_2016,r_curr_mar_2016,r_curr_apr_2016,r_curr_may_2016,r_curr_jun_2016,r_curr_jul_2016,r_curr_aug_2016,r_curr_sep_2016,r_curr_oct_2016,r_curr_nov_2016,r_curr_dec_2016,Roche,e_curr_jan_2016,e_curr_feb_2016,e_curr_mar_2016,e_curr_apr_2016,e_curr_may_2016,e_curr_jun_2016,e_curr_jul_2016,e_curr_aug_2016,e_curr_sep_2016,e_curr_oct_2016,e_curr_nov_2016,e_curr_dec_2016,External,Total,,r_t3_jan_2016 ,r_t3_feb_2016,r_t3_mar_2016,r_t3_apr_2016,r_t3_may_2016,r_t3_jun_2016,r_t3_jul_2016,r_t3_aug_2016,r_t3_sep_2016,r_t3_oct_2016,r_t3_nov_2016,r_t3_dec_2016,Roche,e_t3_jan_2016 ,e_t3_feb_2016,e_t3_mar_2016,e_t3_apr_2016,e_t3_may_2016,e_t3_jun_2016,e_t3_jul_2016,e_t3_aug_2016,e_t3_sep_2016,e_t3_oct_2016,e_t3_nov_2016,e_t3_dec_2016,External
Global,64901,0,Reliability and Value,"$43,151 ",0,0,0,0,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.12,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,65044,0,Reliability and Value,"$62,000 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.13,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.05
Individual Project,73356,19.5,Launch and Commercial Excellence,"$157,774 ",3.84,3.23,1.53,0,0,2.14,2.48,1.97,1.97,1.56,1.36,0,1.68,12.97,12.97,10.72,0,0,1.81,7.53,11.51,10.35,5.69,4.86,0.95,6.61,8.29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,73367,24.4,Fit for Purpose,"$26,719 ",0.2,0.41,0.54,0.6,0.56,0.26,0,0,0,0,0,0,0.21,0,2.52,2.52,2.24,1.5,0.82,0,0,0,0,0,0,0.8,1.01,,0.36,0.36,0.36,0.36,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.21,0.31,0.2,0.2,0.2,0.2,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.09,0.15
Global,73398,10.5,Reliability and Value,"$273,000 ",0,0,0,0,0,0,0,0.34,0,0,0,0,0.03,0,0,0,0,0,0,0,0,1.29,1.29,1.29,1.29,0.43,0.46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global,73399,11.3,Highly Capable Workforce,"$153,215 ",0,0.01,0.03,0,0,0,0,0,0.02,0,0,0,0.01,0.02,0.09,0.09,0.02,0,0,0,0,0,0.01,0,0,0.02,0.02,,0.07,0.07,0.58,0.07,0.07,0.14,0.34,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
,73406,12,Agile,"$17,477 ",0,0,0,0,0,0,0.27,1.63,1.54,0.54,0.41,0.56,0.41,,,,,,,0.27,0.31,0.6,0.16,0.61,0.41,0.39,0.81,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,73409,5.1,Highly Capable Workforce,"$307,216 ",0,0,0,0,0,0,0.6,0.63,0.52,0.35,0.41,0.41,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,,0.26,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74119,60,Fit for Purpose,"$4,635,852 ",0,0,0,0,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.4,0,0,0,0,1.27,1.3,1.3,1.3,1.39,1.06,1.06,1.06,0.81,1.21,,2.47,2.47,2.55,2.49,2.43,2.41,2.18,2.18,2.18,2.18,2.18,1.85,2.3,2.25,2.25,2.36,2.36,3.03,3.06,3.1,3.1,3,2.67,2.67,2.67,2.71
,74127,60,Launch Facility,"$125,000 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.04,0.14,0.14,0.14,1.3,1.44,0.53
Individual Project,74268,60,Fit for Purpose,"$93,629,477 ",0,0,0,0,5.63,5.63,5.63,5.49,5.49,5.49,5.49,5.49,3.7,0,0,0,0,11.88,12.15,12.15,12.15,13.05,9.9,9.9,9.9,7.59,11.29,,22.73,22.73,23.27,22.73,22.19,22.01,20.3,20.3,20.3,20.3,20.3,17.33,21.21,21.06,21.06,22.14,22.14,28.44,28.71,29.07,29.07,28.17,25.02,25.02,25.02,25.41
Individual Project,74279,19.2,Reliability and Value,"$4,947,130 ",2.68,2.68,2.68,2.68,2.41,2.48,4.11,5.13,6.19,5.99,6.27,5.78,4.09,3.31,3.31,3.31,3.31,6.61,8.93,10.03,10.03,11.13,11.54,11.16,11.97,7.88,11.97,,4.79,3.77,3.87,5.5,5.16,3.71,7.04,7.89,6.19,5.33,4.96,3.6,5.15,13.59,15.05,14.99,13.76,13.11,12.19,12.32,11.34,13.11,15.01,12.72,9.05,13.02
Individual Project,74302,23,Reliability and Value,"$369,680 ",1.73,1.99,0.17,0.17,0,0,0,0,0,0,0,0,0.34,7.88,0.66,0.66,0,0,0,0,0,0,0,0,0,0.77,1.11,,0,0,0,1.36,2.04,2.36,2.02,1.87,0.35,0,0,0,0.83,0,0,0,8.52,8.52,8.52,8.52,8.52,1.27,0,0,0,3.66
Individual Project,74373,11.1,Fit for Purpose,"$5,536,207 ",1.95,2.75,3.55,4,4.6,5.06,5.06,5.06,5.06,5.16,5.21,5.76,4.44,11.92,13.45,13.75,12.51,12.92,8.32,8.04,8.78,9.14,9.78,11.76,12.27,11.05,15.49,,6.88,6.78,5.93,3.58,2.93,5.45,5.45,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74382,7.6,Launch and Commercial Excellence,"$7,610,223 ",3.62,3.62,3.62,5.87,5.87,5.87,3.56,3.56,3.56,2.75,2.75,2.75,3.95,0.3,0.3,0.3,6.54,6.54,6.54,0.19,0.19,0.19,0,0,0,1.76,5.71,,3.4,3.4,3.4,3.4,0,0,0,0,0,0,0,0,1.13,1.31,1.31,1.31,1.22,0,0,0,0,0,0,0,0,0.43
Individual Project,74392,6.1,Reliability and Value,"$143,846 ",0.27,0.27,0.27,0.07,0.01,0.01,0.01,0.88,0.07,1.09,0.09,0.09,0.26,,,,,,,,,,,,,0,0.26,,1.84,1.84,1.7,0.27,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74404,10.7,Highly Capable Workforce,"$270,009 ",0.49,0.44,0.38,0,0,0,0,0,0,0,0,0,0.11,,,,,,,,,,,,,0,0.11,,0.03,0.03,0.03,0.02,0.02,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74406,34,Reliability and Value,"$1,724,239 ",0.51,0.71,0.71,0.65,0.65,0,0,0,0,0,0,0.17,0.28,,,,,,,,,,,,,0,0.28,,0.23,0.22,0.24,0.21,0.18,0.15,0.03,0.02,0.02,0.02,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74409,11.3,Fit for Purpose,"$1,900,000 ",0,0,0,0,0,0,0.79,0.52,0.14,0.06,0.06,0.06,0.14,0,0,0,0,0,0,0.41,0.41,1.1,5.48,5.48,5.48,1.53,1.67,,0.1,0.27,0.31,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74416,11.1,Highly Capable Workforce,"$126,295 ",0,0,0,0,0,0.08,0.14,0.13,0.12,0.06,0.12,0.18,0.07,0,0,0,0,0,0.31,0.61,0.73,0.87,0.94,0.94,0.28,0.39,0.46,,0.14,0.13,0.12,0.06,0.12,0.18,0,0,0,0,0,0,0.06,0.61,0.73,0.87,0.94,0.94,0.28,0,0,0,0,0,0,0.36
Individual Project,74418,15.8,Launch and Commercial Excellence,"$3,274,674 ",0.37,0.44,0.61,0.61,0.58,0.51,5.71,9.32,1.05,1.67,0.34,0.27,1.79,1.29,2.59,5.84,6.03,1.26,1.02,2.23,2.23,8.01,5.99,3.61,3.37,3.62,5.41,,1.67,0.88,0.58,0.17,0.07,0,0,0,0,0,0,0,0.28,6.09,3.16,3.16,0,0,0,0,0,0,0,0,0,1.03
Individual Project,74426,N/A,Reliability and Value,"$589,735 ",0,0,0,0,0,0,0.07,0.07,0.12,0.8,0.07,0.07,0.1,0,0,0,0,0.61,0.61,0.61,0.61,1.67,2.43,1.43,0.61,0.72,0.82,,0.61,0.61,0.61,0.61,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
,74427,N/A,Reliability and Value,"$1,466,000 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.31,0.37,0.51,0.31,0.31,0.31,0.44,0.51,0.44,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74429,7.7,Reliability and Value,"$204,573 ",0,0,0,0,0,0,0,0,0.48,0.48,0.48,0.48,0.16,0,0,0,0,0,0,1.59,1.59,1.59,1.59,1.59,1.59,0.79,0.95,,0.52,0.52,0.52,0.48,0.48,0,0,0,0,0,0,0,0.21,1.31,1.31,1.29,1.29,1.29,0,0,0,0,0,0,0,0.54
Gllobal,74431,10.7,Reliability and Value,"$442,000 ",0,0,0,0,0,0,0.68,0.67,0.26,0.13,0.12,0.12,0.16,,,,,,,,,,,,,0,0.16,,0.23,0.56,0.34,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
,74435,17.1,Fit for Purpose,"$400,000 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48
Individual Project,74454,60,Fit for Purpose,"$1,010,193 ",0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Individual Project,74455,60,Fit for Purpose,"$1,704,489 ",0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.04,,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.09,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.08
,74486,N/A,Highly Capable Workforce,"$2,294,000 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.17,0.17,0.2,0.2,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.42,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
,74487,N/A,Highly Capable Workforce,"$3,599,797 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.27,0.27,0.27,0.27,0.27,0.27,0.41,0.54,0.54,0.44,0.23,0.23,0.33,0,0,0,0,0,0,30.54,30.54,30.54,30.57,0,0,10.18
,74489,3.1,Exceptional Culture,"$685,700 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74490,16.3,Reliability and Value,"$601,445 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,6,2,2,,0.59,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74491,60,Launch and Commercial Excellence,"$1,364,276 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,15.49,22.99,22.99,22.99,26.49,26.49,26.49,31.92,31.92,31.92,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0
Global,74511,13.3,Reliability and Value,"$1,943,300 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0,0,0,0,0.01,0.01,,1.31,1.34,1.41,1.27,1.27,1.27,2.44,2.3,2.3,2.3,2.3,2.3,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74512,0,Fit for Purpose,"$800,000 ",0,0,0,0,0,0,0.79,0.52,0.14,0.06,0.06,0.06,0.14,0,0,0,0,0,0,0.41,0.41,1.1,5.48,5.48,5.48,1.53,1.67,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0,0,0,0.18,,,,,,,,,,,,,0
Individual Project,74524,18,Reliability and Value,"$14,571 ",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,0.12,0.41,0.44,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
,74526,13.3,Reliability and Value,"$1,882,404 ",,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,74535,0,Reliability and Value,"$306,000 ",0,0,0.91,0.97,0.71,0.27,0.06,0.06,0.1,0.88,0.8,0.24,0.42,0,0,2.31,2.04,2.55,1.87,0.2,0.2,0.95,2.31,2.08,0.78,2,2.42,,0.91,0.91,0.91,1.94,1.94,1.94,0.22,0.22,0.22,1.93,1.93,1.93,1.25,1.9,1.9,1.9,5.78,5.78,5.78,1.36,1.36,1.36,5.01,5.01,5.01,3.51
Individual Project,76643,18.6,Highly Capable Workforce,"$143,425 ",0,0.32,0.14,0,0,0,0,0,0,0,0,0,0.04,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0.03,0.07,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,82000,3.4,Reliability and Value,"$866,058 ",0,0,0,1.36,1.36,1.36,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,,0.7,0.7,0.7,1,1,1,1,1,1,0,0,0,0.68,4,4,4,4,4,4,3.5,3.5,3.5,0,0,0,2.88
Global,96121,#N/A,#N/A,"$32,000 ",0,0,0,1,1,1,0,0,0,0,0,0,0.25,0,0,0,1,1,1,0,0,0,0,0,0,0.25,0.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Global,96135,14.4,Highly Capable Workforce,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0.5,0.5,0.5,0.2,0.2,0.2,0,0,0,0,0,0,0.18,,,,,,,,,,,,,0
,96159,22.8,Fit for Purpose,"$150,000 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Expense,97003,15.3,Reliability and Value,"$606,000 ",0,0,0,0,0,0,2.26,2.26,2.26,2.26,2.26,2.26,1.13,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0.04,1.17,,2.26,2.26,2.26,2.26,2.26,0,0,0,0,0,0,0,0.94,2.67,2.67,2.67,2.67,1.59,0,0,0,0,0,0,0,1.02
Expense,97007,27.6,Reliability and Value,"$813,000 ",0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,1,1,1,0.63,0,0,0,0.1,0.1,0.1,1.99,1.99,1.99,3.97,3.97,3.97,1.51,2.14,,2.04,2.04,2.04,2.04,2.04,2.04,2.38,2.38,2.38,0.68,0.68,0.68,1.79,,,,,,,,,,,,,0
,97059,0,Reliability and Value,"$100,492 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.05,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05
,96174,3.6,TBD,"$130,000 ",0,0,0,0,0,0,0.2,0.11,0.03,0.03,0.05,0.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96215,20,Fit for Purpose,"$450,000 ",0,0,0,0,0,0,0,0,0,1,1,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Global,64777,#N/A,#N/A,$0 ,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,,0.14,0.14,0.14,0.13,0.11,0.1,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09
Global,64786,#N/A,#N/A,$0 ,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05,,,,,,,,,,,,,0,0.05,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,73328,#N/A,#N/A,$0 ,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,73368,#N/A,#N/A,$0 ,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,73377,#N/A,#N/A,$0 ,2.4,2.5,2.4,2.1,0,0,0,0,0,0,0,0,0.78,,,,,,,,,,,,,0,0.78,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Global,73383,#N/A,#N/A,$0 ,0.45,0.31,0.18,0.05,0,0,0,0,0,0,0,0,0.08,1.22,0.93,0.2,0.03,0,0,0,0,0,0,0,0,0.2,0.28,,0.15,0.15,0.17,0.17,0.17,0.17,0.13,0.13,0.13,0.13,0.11,0.08,0.14,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.08,0.11
Global,73387,N/A,Reliability and Value,$0 ,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05,,,,,,,,,,,,,0,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.5
Individual Project,73388,7.8,Launch and Commercial Excellence,$0 ,0.03,0.17,0.19,0.16,0.17,0.1,0.24,0.24,0.24,0.22,0.22,0.17,0.18,0,0,0,0.12,0.12,0.12,0.12,0.12,0.12,1.99,1.99,1.99,0.56,0.74,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74244,#N/A,#N/A,$0 ,0.8,0.86,0.81,0.72,0.72,0.12,0,0,0,0,0,0,0.34,6.91,6.5,6.03,5.59,2.49,1.81,1.2,0,0,0,0,0,2.54,2.88,,0.47,0.47,0.46,0.46,0.44,0.46,0.4,0.4,0.4,0.4,0.4,0.29,0.42,0.26,0.26,0.26,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.23,0.28
,74278,16.5,Fit for Purpose,$0 ,0,0,0,0,0,0,0,0,0,0.64,0.93,0.91,0.21,,,,,,,,,,,,,,,,0.61,0.37,0.32,0.32,0.31,0.32,0.36,0.72,0.94,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74280,11.6,Agile,$0 ,0.26,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0.03,0.2,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.05,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Individual Project,74371,6.8,TBD,$0 ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,,,,,,,,,0.3,0.3,0.3,0.3,0.3
Global,96046,#N/A,#N/A,$0 ,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0
Global,96047,#N/A,#N/A,$0 ,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0
Global,96069,N/A,Fit for Purpose,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0,0,0,0,0.01,0.01,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
